word1,word2,sim,wmean
напиток,пища,0.619048,0.323905
планета,звезда,0.619048,0.391504
страна,гражданин,0.619048,0.224574
тигр,животное,0.619048,0.426033
тигр,фауна,0.619048,0.227032
студент,профессор,0.619048,0.449183
инструмент,приcпособление,0.615385,0.421902
марадона,футбол,0.604167,0.216617
день,полдень,0.6,0.466221
кино,театр,0.6,0.442929
природа,среда,0.6,0.277389
чашка,кофе,0.583333,0.584331
огурец,картофель,0.583333,0.650975
сми,радио,0.583333,0.290567
деньги,имущество,0.583333,0.462558
ливень,наводнение,0.583333,0.439634
планета,космос,0.583333,0.524037
психология,cознание,0.583333,0.335919
психология,фрейд,0.583333,0.374803
шкаф,одежда,0.583333,0.214654
футбол,теннис,0.583333,0.732360
любовь,секс,0.571429,0.356015
мужчина,женщина,0.571429,0.680209
фбр,расследование,0.555556,0.309909
доктор,персонал,0.555556,0.175533
психология,психиатрия,0.555556,0.570562
дивиденд,выплата,0.555556,0.533929
книга,бумага,0.555556,0.344438
компьютер,интернет,0.555556,0.431528
король,ладья,0.555556,0.215283
телевидение,фильм,0.555556,0.317472
поголовье,скот,0.541667,0.540713
игра,победа,0.541667,0.138773
кровать,шкаф,0.541667,0.467330
поездка,машина,0.541667,0.115053
печь,плита,0.537037,0.460787
наркотик,злоупотребление,0.533333,0.331964
объявление,новости,0.533333,0.281927
прецедент,право,0.533333,0.290787
сеть,аппаратура,0.533333,0.270440
епископ,раввин,0.52381,0.295722
планета,луна,0.52381,0.426978
рок,джаз,0.52381,0.283614
жизнь,смерть,0.521739,0.295717
планета,солнце,0.518519,0.291689
территория,километр,0.518519,0.201663
жертва,авария,0.518519,0.163793
планета,астроном,0.518519,0.262451
стекло,стакан,0.518519,0.206566
телефон,сообщение,0.518519,0.209937
ягуар,автомобиль,0.515152,0.349543
машина,поездка,0.509804,0.114873
инсульт,больница,0.5,0.265924
кино,критик,0.5,0.122793
стекло,металл,0.5,0.417880
юрист,доказательство,0.5,0.150872
брат,монах,0.490196,0.557360
еда,приготовление,0.488889,0.380548
погода,прогноз,0.487179,0.349919
физика,химия,0.487179,0.683441
музей,театр,0.484848,0.374624
физика,протон,0.479167,0.213608
игра,поражение,0.472222,0.077778
прецедент,познание,0.466667,0.109593
министр,партия,0.466667,0.112531
отель,бронирование,0.458333,0.132607
инвалидность,смерть,0.458333,0.171358
награда,мужество,0.458333,0.270464
планета,галактика,0.458333,0.642885
психология,депрессия,0.458333,0.123804
психология,клиника,0.458333,0.189877
хлеб,масло,0.458333,0.483063
фбр,улика,0.454545,0.197719
день,рассвет,0.444444,0.268440
игра,раунд,0.444444,0.242999
профессор,доктор,0.444444,0.601611
среда,экология,0.444444,0.275182
арафат,терроризм,0.428571,0.202046
игра,команда,0.428571,0.228274
концерт,виртуоз,0.428571,0.375712
чашка,предмет,0.428571,0.101711
маг,оракул,0.424242,0.304777
планета,люди,0.416667,0.150274
планета,созвездие,0.416667,0.414880
телефон,оборудование,0.416667,0.107676
допуск,билет,0.416667,0.153240
опек,нефть,0.404762,0.358537
блядь,секс,0.4,0.195649
космос,мир,0.395833,0.602963
мудрец,волшебник,0.388889,0.350197
валик,подушка,0.384615,0.484632
гарвард,йель,0.384615,0.549830
кладбище,курган,0.384615,0.401865
самолет,машина,0.380952,0.433797
больница,инфраструктура,0.380952,0.048670
тигр,зоопарк,0.380952,0.412517
японец,американец,0.377778,0.629224
проблема,вызов,0.375,0.068277
бой,поражение,0.375,0.267719
брат,парень,0.375,0.176306
каньон,пейзаж,0.375,0.193254
психология,страх,0.375,0.107215
чашка,еда,0.375,0.296990
умник,глупец,0.366667,0.469165
инвестор,заработок,0.363636,0.190950
психология,здоровье,0.363636,0.067106
марс,ученый,0.358974,0.085609
деньги,снятие,0.355556,0.011959
деньги,отмывание,0.351852,0.255742
автомобиль,путешествие,0.333333,0.059651
чашка,вещь,0.333333,0.068126
психология,тревога,0.333333,0.050220
чашка,жидкость,0.333333,0.312377
любовник,ссора,0.333333,0.280723
прибытие,отель,0.333333,0.161671
лето,засуха,0.333333,0.348910
алкоголь,химия,0.333333,0.187496
валюта,рынок,0.333333,0.374947
выставка,реликвия,0.333333,0.223846
перечисление,категория,0.333333,0.149555
потребитель,энергия,0.333333,0.150652
тигр,организм,0.333333,0.030135
деньги,владение,0.333333,0.080389
кино,попкорн,0.333333,0.267726
лето,природа,0.333333,0.073937
птица,лесопарк,0.333333,0.110348
фонд,рынок,0.333333,0.184655
энергия,лаборатория,0.333333,0.135087
монах,оракул,0.307692,0.174973
ответственность,страхование,0.3,0.152773
побережье,лес,0.3,0.183110
психология,познание,0.291667,0.374631
психология,доктор,0.291667,0.187897
умник,студент,0.291667,0.218849
доктор,ответственность,0.291667,0.023220
министерство,культура,0.282051,0.166238
семья,планирование,0.277778,0.021373
жизнь,срок,0.27451,0.099880
прецедент,предшественник,0.272727,0.152189
еда,петушок,0.270833,0.063329
театр,история,0.266667,0.118560
цель,жизнь,0.266667,0.103080
передвижение,деятельность,0.266667,0.155899
печь,приспособление,0.266667,0.082505
территория,поверхность,0.266667,0.170883
берег,лес,0.259259,0.337615
открытие,космос,0.259259,0.140346
жизнь,урок,0.25641,0.144413
журавль,приспособление,0.25,0.019165
день,лето,0.25,0.281434
приют,кладбище,0.25,0.219184
сто,процент,0.25,0.318311
улица,дети,0.25,0.071166
чашка,объект,0.25,0.046859
берег,путешествие,0.25,0.093002
деньги,операция,0.25,0.067294
кожа,глаз,0.25,0.184284
мораль,брак,0.25,0.148804
потребитель,доверие,0.25,0.117978
кино,звезда,0.242424,0.086419
кредит,информация,0.242424,0.154292
начало,матч,0.242424,0.037514
шанс,доверие,0.238095,0.130085
дивиденд,расчет,0.238095,0.184463
изображение,поверхность,0.238095,0.244671
приют,дурдом,0.238095,0.183563
игра,серия,0.222222,0.122317
пол,равенство,0.222222,0.050921
рождаемость,яйцо,0.222222,0.004775
развитие,вопрос,0.214286,0.090408
ситуация,заключение,0.212121,0.117320
сми,торговля,0.212121,0.149221
правительство,кризис,0.208333,0.206863
роскошь,автомобиль,0.208333,0.108380
холм,лесопарк,0.208333,0.301356
приют,монах,0.2,0.176863
парень,мастер,0.190476,0.215612
прецедент,информация,0.186275,0.128552
курган,берег,0.185185,0.247736
курган,плита,0.185185,0.321717
мыло,опера,0.185185,0.053371
оборудование,производитель,0.179487,0.340773
побережье,холм,0.166667,0.252299
атмосфера,пейзаж,0.166667,0.264679
бейсбол,сезон,0.166667,0.165566
берег,лесопарк,0.166667,0.235973
запись,число,0.166667,0.148090
космос,химия,0.166667,0.113759
мир,атмосфера,0.166667,0.211712
напиток,рот,0.166667,0.079263
школа,центр,0.166667,0.202698
доллар,потеря,0.166667,0.081493
регистрация,расположение,0.166667,0.058475
стекло,драгоценность,0.166667,0.126004
отчет,выгода,0.166667,0.111071
нефть,фонд,0.160494,0.077662
монах, оракул,0.142857,0.145350
природа,мужчина,0.141026,0.064469
мужчина,губернатор,0.133333,0.068139
изменение,отношение,0.130952,0.224637
мальчик,петушок,0.125,0.307988
причина,критерий,0.125,0.268614
смерть,ссора,0.115942,0.155081
слово,сходство,0.111111,0.073325
усмешка,приспособление,0.111111,0.042941
монах,раб,0.111111,0.299338
возможность,девушка,0.105263,0.044626
задержка,новости,0.105263,0.102024
кладбище,лесопарк,0.104167,0.277478
погост,дурдом,0.102564,0.111824
президент,медаль,0.102564,0.096582
мир,страхование,0.095238,0.023807
чашка,вещество,0.095238,0.038575
архитектура,век,0.095238,0.151658
оружие,тайна,0.095238,0.107932
чашка,артефакт,0.095238,0.038767
марс,вода,0.090909,0.070672
меньшинство,мир,0.090909,0.076654
век,нация,0.088889,0.120601
король,капуста,0.088889,0.047104
наблюдение,архитектура,0.088889,0.073291
журнал,ассоциация,0.087719,0.103144
фонд,ягуар,0.087719,0.041796
еда,петух,0.083333,0.092290
мир,план,0.083333,0.139492
фрукт,печь,0.083333,0.118079
арафат,мир,0.076923,0.041701
запас,жизнь,0.074074,0.017294
размер,известность,0.074074,0.100598
фонд,телефон,0.060606,0.035821
cреда,новости,0.047619,0.110494
музыка,проект,0.047619,0.018911
население,развитие,0.047619,0.140601
объявление,производство,0.047619,0.060070
объявление,усилие,0.047619,0.031054
перечисление,близость,0.047619,0.097287
предубеждение,признание,0.047619,0.194531
профессор,огурец,0.047619,0.066060
ситуация,изоляция,0.047619,0.134816
автомобиль,валик,0.041667,0.083376
валик,драгоценность,0.041667,0.071897
задержка,расизм,0.041667,0.004314
месяц,отель,0.041667,0.063352
напиток,ухо,0.041667,0.031792
опера,отрасль,0.041667,0.053977
опыт,музыка,0.041667,0.007777
ориентир,индекс,0.041667,0.179756
развертывание,вывод,0.041667,0.083323
развертывание,отход,0.041667,0.313652
семь,серия,0.041667,0.114114
смерть,заключенный,0.041667,0.095125
энергия,секретарь,0.041667,0.006216
автограф,берег,0.0,0.026021
петушок,путешествие,0.0,0.090988
подписать,перерыв,0.0,0.106579
прецедент,сбор,0.0,0.027833
причина,гипертония,0.0,0.107892
проблема,аэропорт,0.0,0.010643
стекло,маг,0.0,0.035565
фонд,яйцо,0.0,0.025347
автомобиль,волшебник,0.0,0.021421
арафат,джексон,0.0,0.066410
доска,рекомендация,0.0,0.028015
линия,страхование,0.0,0.009457
машина,полет,0.0,0.123638
напиток,мать,0.0,0.005843
полдень,веревка,0.0,0.062773
попытка,мир,0.0,0.058709
прецедент,группа,0.0,0.030006
приют,фрукт,0.0,0.062026
производство,поход,0.0,0.079670
пять,месяц,0.0,0.246902
сми,выгода,0.0,0.055559
шнур,улыбка,0.0,0.030989
соплеменник,единоплеменница,1.0,0.929691
соплеменник,персона,1.0,0.705481
соплеменник,землячка,1.0,0.790429
соплеменник,человек,1.0,0.723140
соплеменник,земляк,1.0,0.843014
соплеменник,единоплеменник,1.0,0.941153
соплеменник,соплеменница,1.0,0.936953
соплеменник,одноплеменник,1.0,0.939963
соплеменник,сородич,1.0,0.966226
соплеменник,дункан,0.0,0.041638
соплеменник,плиний,0.0,0.025688
соплеменник,карфаген,0.0,0.034811
соплеменник,просо,0.0,0.419370
соплеменник,мулла,0.0,0.300624
соплеменник,шиллинг,0.0,0.017988
соплеменник,родос,0.0,0.013251
соплеменник,мансур,0.0,0.034559
соплеменник,лан,0.0,0.030397
мальчишка,детишки,1.0,0.776830
мальчишка,детка,1.0,0.793782
мальчишка,щенок,1.0,0.935655
мальчишка,сосунок,1.0,0.941848
мальчишка,молокосос,1.0,0.960345
мальчишка,сопляк,1.0,0.958749
мальчишка,соплячка,1.0,0.906942
мальчишка,мужчина,1.0,0.805411
мальчишка,салага,1.0,0.951686
мальчишка,контингент,0.0,0.329769
мальчишка,паровоз,0.0,0.244798
мальчишка,утрата,0.0,0.256316
мальчишка,согласование,0.0,0.001167
мальчишка,понедельник,0.0,0.306515
мальчишка,пресс-конференция,0.0,0.352820
мальчишка,равновесие,0.0,0.264882
мальчишка,санкция,0.0,0.232691
мальчишка,разложение,0.0,0.141727
авангард,формализм,1.0,0.773885
авангард,авангардизм,1.0,0.973369
авангард,авангардность,1.0,0.980797
авангард,группа,1.0,0.588213
авангард,сюрреализм,1.0,0.791831
авангард,стиль,1.0,0.778323
авангард,стилистика,1.0,0.782855
авангард,население,0.0,0.298910
авангард,работа,0.0,0.073300
авангард,заготовление,0.0,0.003353
авангард,область,0.0,0.420216
авангард,город,0.0,0.330440
авангард,декабрь,0.0,0.144245
авангард,стрела,0.0,0.286987
ставленник,креатура,1.0,0.962669
ставленник,ставленница,1.0,0.942312
ставленник,лида,0.0,0.001479
ставленник,подрыв,0.0,0.260708
автотехника,автотранспорт,1.0,0.862277
автотехника,автомотосредство,1.0,0.922878
автотехника,автомототехника,1.0,0.943232
автотехника,автомототранспорт,1.0,0.918044
автотехника,значение,0.0,0.005872
автотехника,образ,0.0,0.215011
автотехника,дом,0.0,0.382403
автотехника,количество,0.0,0.413970
умаление,искажение,1.0,0.632113
умаление,различение,0.0,0.177550
порицание,осуждение,1.0,0.872075
порицание,освистывание,1.0,0.779415
порицание,неодобрение,1.0,0.950091
порицание,обличение,1.0,0.818357
порицание,луций,0.0,0.021951
порицание,сардиния,0.0,0.123522
порицание,грот,0.0,0.125712
порицание,револьвер,0.0,0.225965
фельдшер,фельдшерица,1.0,0.967444
фельдшер,согласование,0.0,0.201112
кардифф,портопункт,1.0,0.792452
кардифф,близнец,0.0,0.204551
писательница,поэтесса,1.0,0.854361
писательница,поэт,1.0,0.830481
писательница,публицистка,1.0,0.818555
писательница,фантаст,1.0,0.839260
писательница,стихотворец,1.0,0.783972
писательница,сказочница,1.0,0.805583
писательница,литератор,1.0,0.942288
писательница,авторство,1.0,0.805176
писательница,литераторша,1.0,0.927294
писательница,автор,1.0,0.795248
писательница,авторша,1.0,0.792121
писательница,юмористка,1.0,0.808097
писательница,сценаристка,1.0,0.810878
писательница,юморист,1.0,0.807187
писательница,писатель-фантаст,1.0,0.838349
писательница,писатель-сатирик,1.0,0.857562
писательница,писатель,1.0,0.988135
писательница,маэстро,1.0,0.752011
писательница,сценарист,1.0,0.804370
писательница,сатирик,1.0,0.810313
писательница,писатель-юморист,1.0,0.857578
писательница,художник,1.0,0.789593
писательница,публицист,1.0,0.858506
писательница,сказочник,1.0,0.787017
писательница,гренобль,0.0,0.009143
писательница,шериф,0.0,0.417261
писательница,соучредитель,0.0,0.378124
писательница,маршалл,0.0,0.036861
писательница,языкознание,0.0,0.480082
писательница,рыбинск,0.0,0.211649
писательница,пабло,0.0,0.030217
писательница,вампир,0.0,0.364420
писательница,совладелец,0.0,0.264787
писательница,легат,0.0,0.001818
писательница,захаров,0.0,0.018444
писательница,банкнота,0.0,0.421421
писательница,миллионер,0.0,0.328818
писательница,репин,0.0,0.033835
писательница,маньчжурия,0.0,0.015779
писательница,совр,0.0,0.027868
писательница,мичман,0.0,0.025037
писательница,грузин,0.0,0.272656
писательница,андалусия,0.0,0.166270
писательница,токарь,0.0,0.337963
писательница,эрих,0.0,0.036112
писательница,мхат,0.0,0.035507
писательница,антанта,0.0,0.004453
писательница,вскрытие,0.0,0.285739
несогласованность,нестыковочка,1.0,0.701650
несогласованность,несогласование,1.0,0.928408
несогласованность,разнобой,1.0,0.929424
несогласованность,четверг,0.0,0.335553
несогласованность,встречный,0.0,0.336555
несогласованность,акватория,0.0,0.007145
клейка,приделывание,1.0,0.730264
клейка,наклейка,1.0,0.940350
клейка,наклеивание,1.0,0.903874
клейка,прикрепление,1.0,0.747942
клейка,снимок,0.0,0.420108
клейка,фут,0.0,0.295057
клейка,сближение,0.0,0.411203
клейка,техник,0.0,0.334819
разметка,отметка,1.0,0.815051
разметка,обозначение,1.0,0.576266
разметка,отметина,1.0,0.898869
разметка,метка,1.0,0.931368
разметка,укрепление,0.0,0.378466
разметка,гибкость,0.0,0.309922
разметка,лопатка,0.0,0.303043
разметка,вибрация,0.0,0.200218
книга,ужастик,1.0,0.582130
книга,брошюрка,1.0,0.785005
книга,тетрадочка,1.0,0.800649
книга,альманах,1.0,0.670078
книга,сборничек,1.0,0.616032
книга,монография,1.0,0.807739
книга,книжечка,1.0,0.926743
книга,многотомник,1.0,0.768450
книга,том,1.0,0.865857
книга,книжка,1.0,0.966426
книга,словарь,1.0,0.707398
книга,сборник,1.0,0.827161
книга,томик,1.0,0.803565
книга,словарик,1.0,0.783272
книга,триллер,1.0,0.756123
книга,аул,0.0,0.234079
книга,холл,0.0,0.371860
книга,одобрение,0.0,0.152563
книга,трест,0.0,0.268280
книга,ничья,0.0,0.159195
книга,обитатель,0.0,0.023980
книга,перекресток,0.0,0.302929
книга,марокко,0.0,0.161896
книга,трибунал,0.0,0.269047
книга,килограмм,0.0,0.150798
книга,уругвай,0.0,0.146468
книга,майк,0.0,0.026739
книга,киль,0.0,0.295804
книга,торжество,0.0,0.182120
книга,конечность,0.0,0.277006
диакон,дьякон,1.0,0.949105
диакон,сознание,0.0,0.019240
плеть,веревка,1.0,0.791936
плеть,ремешок,1.0,0.616590
плеть,веревочка,1.0,0.617410
плеть,плетка,1.0,0.953302
плеть,ремень,1.0,0.795623
плеть,чжан,0.0,0.026641
плеть,куча,0.0,0.165112
плеть,сова,0.0,0.030080
плеть,лиса,0.0,0.031693
плеть,сахаров,0.0,0.005415
контрастность,контраст,1.0,0.978471
контрастность,несходство,1.0,0.623830
контрастность,кошка,0.0,0.002681
контрастность,печень,0.0,0.237265
кокетка,женщина,1.0,0.658729
кокетка,княжна,0.0,0.035856
порт,бристоль,1.0,0.812009
порт,неаполь,1.0,0.819502
порт,кардифф,1.0,0.801800
порт,хихон,1.0,0.856756
порт,туапсе,1.0,0.801757
порт,кливленд,1.0,0.784743
порт,шанхай,1.0,0.809987
порт,анталья,1.0,0.817052
порт,портопункт,1.0,0.893627
порт,салоники,1.0,0.802520
порт,гент,1.0,0.790700
порт,пирей,1.0,0.838613
порт,нант,1.0,0.805915
порт,венеция,1.0,0.802551
порт,торонто,1.0,0.796379
порт,сидней,1.0,0.807936
порт,осака,1.0,0.803847
порт,кейптаун,1.0,0.841620
порт,антверпен,1.0,0.822191
порт,нагоя,1.0,0.789003
порт,квебек,1.0,0.802078
порт,фриско,1.0,0.787580
порт,мельбурн,1.0,0.817344
порт,измирский,1.0,0.782111
порт,новороссийск,1.0,0.811895
порт,палермо,1.0,0.809837
порт,эдинбург,1.0,0.809672
порт,город-порт,1.0,0.943573
порт,александрия,1.0,0.821815
порт,мессина,1.0,0.818678
порт,гданьск,1.0,0.799249
порт,нью-орлеан,1.0,0.775060
порт,роттердам,1.0,0.812378
порт,ньюкасл,1.0,0.792633
порт,сплит,1.0,0.789624
порт,городок,1.0,0.869377
порт,ларнака,1.0,0.805373
порт,адлер,1.0,0.785503
порт,монреаль,1.0,0.797843
порт,йокогама,1.0,0.793000
порт,сан-франциско,1.0,0.806753
порт,ванкувер,1.0,0.803919
порт,ливерпуль,1.0,0.815635
порт,абиджан,1.0,0.824745
порт,касабланка,1.0,0.817828
порт,азов,1.0,0.783179
порт,генуя,1.0,0.808411
порт,стамбул,1.0,0.815064
порт,нагасаки,1.0,0.799115
порт,бомбей,1.0,0.803464
порт,манчестер,1.0,0.796558
порт,гавань,1.0,0.965745
порт,лос-анджелес,1.0,0.792329
порт,саутгемптон,1.0,0.815261
порт,город,1.0,0.875528
порт,марсель,1.0,0.870318
порт,барселона,1.0,0.804058
порт,находка,1.0,0.805525
порт,бейрут,1.0,0.820586
порт,ларнакский,1.0,0.767377
порт,измир,1.0,0.822114
порт,вышка,0.0,0.423031
порт,спецназ,0.0,0.288675
порт,бутан,0.0,0.365674
порт,житомир,0.0,0.530527
порт,дюна,0.0,0.545902
порт,окленд,0.0,0.600540
порт,рей,0.0,0.166064
порт,мошенничество,0.0,0.180382
порт,выбывание,0.0,0.258040
порт,откровение,0.0,0.276799
порт,тополь,0.0,0.460102
порт,шутер,0.0,0.074801
порт,дыра,0.0,0.450780
порт,боль,0.0,0.313378
порт,сыктывкар,0.0,0.498014
порт,отток,0.0,0.403855
порт,канализация,0.0,0.460597
порт,конда,0.0,0.442776
порт,верди,0.0,0.023779
порт,транс,0.0,0.038946
порт,медресе,0.0,0.231041
порт,каспий,0.0,0.504318
порт,данилов,0.0,0.019408
порт,исмаил,0.0,0.024238
порт,электродвигатель,0.0,0.343732
порт,братия,0.0,0.402931
порт,трубецкой,0.0,0.021653
порт,кассель,0.0,0.043439
порт,пропагандист,0.0,0.311682
порт,генерал-фельдмаршал,0.0,0.023763
порт,монтан,0.0,0.227717
порт,алиев,0.0,0.015943
порт,периодичность,0.0,0.298221
порт,киселев,0.0,0.022649
порт,ден,0.0,0.169550
порт,перу,0.0,0.389195
порт,струя,0.0,0.442125
порт,зачисление,0.0,0.249449
порт,уэллс,0.0,0.011651
порт,лаос,0.0,0.484191
порт,акмечетский,0.0,0.008473
порт,кооперация,0.0,0.160912
порт,жданов,0.0,0.028232
порт,ла-манча,0.0,0.016597
порт,собиратель,0.0,0.327693
порт,крыша,0.0,0.421016
порт,тургенев,0.0,0.004853
порт,плитка,0.0,0.296475
порт,конверт,0.0,0.308175
порт,хлорид,0.0,0.264860
порт,ракетка,0.0,0.315125
порт,виолончелист,0.0,0.340158
порт,австралиец,0.0,0.365800
порт,мазовецкий,0.0,0.020128
порт,вах,0.0,0.022970
порт,контрудар,0.0,0.334590
порт,видеозапись,0.0,0.024192
порт,лама,0.0,0.430773
порт,прут,0.0,0.390948
порт,распространенность,0.0,0.150673
порт,балетмейстер,0.0,0.249000
скептицизм,кредо,1.0,0.804453
скептицизм,скепсис,1.0,0.952542
скептицизм,нигилизм,1.0,0.685775
скептицизм,несправедливость,0.0,0.361689
скептицизм,курия,0.0,0.012927
скептицизм,бесконечность,0.0,0.331367
поп,владыка,1.0,0.791584
поп,отец,1.0,0.935858
поп,протоиерей,1.0,0.859120
поп,протопоп,1.0,0.829036
поп,игуменья,1.0,0.807517
поп,игумен,1.0,0.842484
поп,священник,1.0,0.893382
поп,батюшка,1.0,0.947270
поп,архимандрит,1.0,0.831876
поп,клирик,1.0,0.799257
поп,иерей,1.0,0.941517
поп,архиерей,1.0,0.837753
поп,попик,1.0,0.961426
поп,анархист,0.0,0.328040
поп,сияние,0.0,0.020364
поп,афиша,0.0,0.237322
поп,американка,0.0,0.380906
поп,таймс,0.0,0.022640
поп,межевание,0.0,0.007062
поп,самосознание,0.0,0.256312
поп,шульц,0.0,0.040763
поп,телезритель,0.0,0.247829
поп,рено,0.0,0.016700
поп,белл,0.0,0.022793
поп,симметрия,0.0,0.013250
поп,рисунок,0.0,0.400635
свиноферма,свинокомплекс,1.0,0.927619
свиноферма,фронтовик,0.0,0.274460
кинопродукция,киноверсия,1.0,0.850366
кинопродукция,кинокартина,1.0,0.938300
кинопродукция,киноэпопея,1.0,0.939207
кинопродукция,лента,1.0,0.778164
кинопродукция,кино,1.0,0.710251
кинопродукция,картина,1.0,0.903617
кинопродукция,киносериал,1.0,0.939636
кинопродукция,фильм,1.0,0.814437
кинопродукция,экранизация,1.0,0.789998
кинопродукция,банкротство,0.0,0.172141
кинопродукция,челюсть,0.0,0.297220
кинопродукция,биржа,0.0,0.247649
кинопродукция,рацион,0.0,0.359832
кинопродукция,призрак,0.0,0.396326
кинопродукция,самостоятельность,0.0,0.240396
кинопродукция,параллель,0.0,0.238112
кинопродукция,похищение,0.0,0.214419
кинопродукция,партнерство,0.0,0.150888
бобруйск,бобруйский,1.0,0.964945
бобруйск,городок,1.0,0.650666
бобруйск,юго-восток,0.0,0.353638
бобруйск,финал,0.0,0.146959
инструментарий,ножницы,1.0,0.715226
инструментарий,сачок,1.0,0.702211
инструментарий,стратегия,1.0,0.730902
инструментарий,упряжка,1.0,0.678659
инструментарий,колясочка,1.0,0.675385
инструментарий,тактика,1.0,0.739989
инструментарий,деталь,1.0,0.709796
инструментарий,буфер,1.0,0.697745
инструментарий,гребешок,1.0,0.693820
инструментарий,средство,1.0,0.926324
инструментарий,вещь,1.0,0.734399
инструментарий,система,1.0,0.726523
инструментарий,костыль,1.0,0.702936
инструментарий,нож-отвал,1.0,0.692161
инструментарий,парашют,1.0,0.698997
инструментарий,трубка,1.0,0.658091
инструментарий,методика,1.0,0.931714
инструментарий,отвал,1.0,0.697981
инструментарий,сани,1.0,0.679575
инструментарий,скоба,1.0,0.700181
инструментарий,страховка,1.0,0.696639
инструментарий,пилка,1.0,0.699086
инструментарий,деталька,1.0,0.695996
инструментарий,крючочек,1.0,0.698677
инструментарий,рычажок,1.0,0.696231
инструментарий,политтехнология,1.0,0.204481
инструментарий,вилка,1.0,0.695168
инструментарий,гребенка,1.0,0.685994
инструментарий,затвор,1.0,0.686837
инструментарий,доска,1.0,0.682453
инструментарий,приспособление,1.0,0.914567
инструментарий,инвентарь,1.0,0.701590
инструментарий,соединитель,1.0,0.706155
инструментарий,подвес,1.0,0.700687
инструментарий,оружие,1.0,0.725887
инструментарий,клавиатура,1.0,0.703400
инструментарий,аэрозоль,1.0,0.707237
инструментарий,запор,1.0,0.686582
инструментарий,оборудование,1.0,0.667939
инструментарий,метод,1.0,0.917935
инструментарий,спортинвентарь,1.0,0.772674
инструментарий,колокол,1.0,0.695221
инструментарий,крючок,1.0,0.718557
инструментарий,коляска,1.0,0.679053
инструментарий,пила,1.0,0.712568
инструментарий,метла,1.0,0.693780
инструментарий,сидение,1.0,0.683323
инструментарий,накопитель,1.0,0.716488
инструментарий,рамка,1.0,0.708017
инструментарий,скобочка,1.0,0.671733
инструментарий,ловушка,1.0,0.682231
инструментарий,поручень,1.0,0.703032
инструментарий,свистулька,1.0,0.686428
инструментарий,крепеж,1.0,0.631254
инструментарий,вещичка,1.0,0.730690
инструментарий,агротехника,1.0,0.709108
инструментарий,скобка,1.0,0.681115
инструментарий,снаряд,1.0,0.693977
инструментарий,поручни,1.0,0.681608
инструментарий,орудие,1.0,0.899989
инструментарий,свисток,1.0,0.681507
инструментарий,цепь,1.0,0.683778
инструментарий,цепочка,1.0,0.692137
инструментарий,рама,1.0,0.687922
инструментарий,алгоритм,1.0,0.745285
инструментарий,предмет,1.0,0.755524
инструментарий,инструмент,1.0,0.980515
инструментарий,самолов,1.0,0.692008
инструментарий,стенд,1.0,0.713434
инструментарий,формочка,1.0,0.688139
инструментарий,пилочка,1.0,0.708780
инструментарий,чучело,1.0,0.684021
инструментарий,образ,1.0,0.617291
инструментарий,метелка,1.0,0.681171
инструментарий,подвеска,1.0,0.695615
инструментарий,воронка,1.0,0.687155
инструментарий,щит,1.0,0.629206
инструментарий,методология,1.0,0.758238
инструментарий,сиденье,1.0,0.690833
инструментарий,рычаг,1.0,0.698861
