word1,word2,sim
бакалея,деньги,0.166667
космос,химия,0.166667
побережье,холм,0.166667
мир,атмосфера,0.166667
атмосфера,пейзаж,0.166667
отчет,выгода,0.166667
школа,центр,0.166667
губернатор,интервью,0.166667
берег,лесопарк,0.166667
нефть,фонд,0.160494
святой,секс,0.146667
монах,оракул,0.142857
природа,мужчина,0.141026
изменение,отношение,0.130952
направление,сочетание,0.125000
причина,критерий,0.125
смерть,ссора,0.115942
слово,сходство,0.111111
монах,раб,0.111111
задержка,новости,0.105263
президент,медаль,0.102564
возможность,девушка,0.105263
кладбище,лесопарк,0.104167
парень,волшебник,0.100000
оружие,тайна,0.095238
архитектура,век,0.095238
мир,страхование,0.095238
чашка,вещество,0.095238
меньшинство,мир,0.090909
марс,вода,0.090909
доброволец,девиз,0.090909
наблюдение,архитектура,0.088889
век,нация,0.088889
король,капуста,0.088889
журнал,ассоциация,0.087719
фонд,ягуар,0.087719
энергия,кризис,0.083333
мир,план,0.083333
арафат,мир,0.076923
размер,известность,0.074074
запас,жизнь,0.074074
фонд,телефон,0.060606
производство,экипаж,0.047619
бедствие,площадь,0.047619
ситуация,изоляция,0.047619
население,развитие,0.047619
музыка,проект,0.047619
объявление,производство,0.047619
предубеждение,признание,0.047619
перечисление,близость,0.047619
объявление,усилие,0.047619
cреда,новости,0.047619
профессор,огурец,0.047619
развертывание,вывод,0.041667
смерть,заключенный,0.041667
ориентир,индекс,0.041667
развертывание,отход,0.041667
прибыль,предупреждение,0.041667
семь,серия,0.041667
опыт,музыка,0.041667
опера,отрасль,0.041667
месяц,отель,0.041667
напиток,ухо,0.041667
энергия,секретарь,0.041667
задержка,расизм,0.041667
напиток,машина,0.000000
практика,учреждение,0.000000
лес,погост,0.000000
сахар,подход,0.000000
фонд,cd,0.000000
попытка,мир,0.0
линия,страхование,0.0
напиток,мать,0.0
сми,выгода,0.0
пять,месяц,0.0
доска,рекомендация,0.0
прецедент,сбор,0.0
подписать,перерыв,0.0
проблема,аэропорт,0.0
машина,полет,0.0
причина,гипертония,0.0
фонд,яйцо,0.0
прецедент,группа,0.0
производство,поход,0.0
стекло,маг,0.0
петушок,путешествие,0.0
полдень,веревка,0.0
шнур,улыбка,0.0
